,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Автодром «Картинг ЦАМК»,Зеленоградский административный округ,район Савёлки,"город Зеленоград, Сосновая аллея, дом 4, строение 3",(499) 735-75-92,55.981263,37.248266,автодром спортивный крытый,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,autodrome_close
1,2,Картинг-центр «МИКС»,Юго-Восточный административный округ,Южнопортовый район,"Шарикоподшипниковская улица, дом 13, строение 89",(495) 640-33-02,55.719672051,37.682267103,автодром спортивный крытый,14:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,13:00-23:55,13:00-23:55,autodrome_close
2,3,Картинг-центр «Зеленокарт»,Зеленоградский административный округ,район Крюково,"город Зеленоград, проектируемый проезд № 687, дом 15, строение 2",(495) 150-96-69,55.965829845,37.166571772,автодром спортивный крытый,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,10:00-23:00,10:00-23:00,autodrome_close
3,4,Автодром «Картинг-клуб «Ле Манс»,Центральный административный округ,Пресненский район,"2-я Магистральная улица, дом 9А, строение 1",(495) 505-02-27,55.758298,37.527008,автодром спортивный крытый,14:00-00:00,14:00-00:00,14:00-00:00,14:00-00:00,14:00-02:00,12:00-02:00,12:00-00:00,autodrome_close
4,5,Автодром «Картинг «Скай картинг»,Западный административный округ,район Филёвский Парк,"Багратионовский проезд, дом 5, строение 32",(495) 120-57-57,55.742750459,37.507953496,"автодром спортивный крытый, «Картинг арена»",12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,16:00-23:00,autodrome_close
5,6,Автодром «Лонато картинг»,Южный административный округ,Нагорный район,"Варшавское шоссе, дом 30А",(495) 445-41-00,55.680737494,37.618364293,автодром спортивный крытый,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,autodrome_close
6,7,Развлекательный центр «Капитолий»,Юго-Западный административный округ,район Котловка,"Севастопольский проспект, дом 11Е",(495) 937-04-40,55.687131569,37.603668779,"автодром спортивный крытый, «Юрейс картинг»",12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,10:00-23:55,10:00-23:55,autodrome_close
7,8,Спортивный комплекс ТЦ «Авиапарк»,Северный административный округ,Хорошёвский район,"улица Авиаконструктора Микояна, дом 10А, строение 1",(495) 644-45-44,55.788803385,37.535425476,"автодром спортивный крытый, «Форза картинг»",09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,autodrome_close
8,9,Картинг «Форза ван картинг»,Западный административный округ,район Филёвский Парк,"улица Барклая, дом 6, строение 26",(495) 909-22-88,55.740435,37.505826699,"автодром спортивный крытый, «Картинг»",14:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,13:00-23:55,13:00-23:55,autodrome_close
9,10,Автодром «Блэк стар картинг»,Южный административный округ,Даниловский район,"Автозаводская улица, дом 18, корпус 1, сооружение 1",(495) 120-43-13,55.705087614,37.639987423,автодром спортивный крытый,10:00-23:55,10:00-23:55,10:00-23:55,10:00-23:55,10:00-23:55,10:00-02:00,10:00-02:00,autodrome_close
